City,State,Population
Stonecrest city, Georgia,"59,189"
Meriden city, Connecticut,"60,833"
La Mesa city, California,"61,114"
Revere city, Massachusetts,"62,247"
Owensboro city, Kentucky,"60,249"
Margate city, Florida,"58,701"
Montebello city, California,"62,634"
Hanford city, California,"59,007"
Eagle Mountain city, Utah,"43,620"
Kannapolis city, North Carolina,"53,197"
Gilroy city, California,"59,533"
Smyrna town, Tennessee,"53,106"
Weymouth Town city, Massachusetts,"57,443"
Kokomo city, Indiana,"59,603"
Great Falls city, Montana,"60,478"
Euless city, Texas,"61,027"
Winter Haven city, Florida,"50,208"
San Rafael city, California,"61,284"
Medford city, Massachusetts,"59,671"
Grand Forks city, North Dakota,"59,173"
West Allis city, Wisconsin,"60,337"
Coconut Creek city, Florida,"57,829"
Hempstead village, New York,"59,185"
Beaumont city, California,"53,055"
Lenexa city, Kansas,"57,411"
Spring Hill city, Tennessee,"50,687"
Petaluma city, California,"59,799"
Brookhaven city, Georgia,"56,761"
Pico Rivera city, California,"62,081"
Hoboken city, New Jersey,"60,057"
Youngstown city, Ohio,"60,047"
Santee city, California,"60,042"
Lake Havasu City city, Arizona,"57,128"
Dubuque city, Iowa,"59,676"
Gardena city, California,"61,024"
Des Plaines city, Illinois,"60,672"
Casper city, Wyoming,"59,097"
Cupertino city, California,"60,229"
Lacey city, Washington,"56,326"
Terre Haute city, Indiana,"58,413"
Midwest City city, Oklahoma,"58,404"
National City city, California,"58,722"
Lancaster city, Pennsylvania,"58,051"
Bowie city, Maryland,"58,321"
Royal Oak city, Michigan,"58,203"
Pocatello city, Idaho,"56,324"
Bradenton city, Florida,"55,713"
Carson City, Nevada,"58,642"
Springfield city, Ohio,"58,644"
St. Clair Shores city, Michigan,"58,872"
Orland Park village, Illinois,"58,723"
Monterey Park city, California,"61,109"
Decatur city, Alabama,"57,321"
Bozeman city, Montana,"53,563"
Texas City city, Texas,"51,905"
Taylorsville city, Utah,"60,439"
Sarasota city, Florida,"54,851"
Southaven city, Mississippi,"54,645"
